,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption
168,yFyyP_Uvxj0,StrataScratch,How To Solve Data Science Probability Interview Questions | Meta/Facebook Example,"Top companies require top data scientists. The ones that are good at solving probability problems, which is what we’ll do in this video. We'll be looking at solving probability questions that have appeared in data science interviews at top companies.


Link to the questions:
Meta/Facebook question (Two cards have the same suit): https://platform.stratascratch.com/technical/2003-two-cards-same-suite?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link
Yammer question (2 people with the same birthday): https://platform.stratascratch.com/technical/2028-where-are-the-birthday-people?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link
Jane Street question (Getting 3 tails with 4 coins): https://platform.stratascratch.com/technical/2285-two-out-of-three-tails?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link

______________________________________________________________________

👉  Subscribe to my channel: https://bit.ly/2GsFxmA
👉  Playlist for more data science interview questions and answers: https://bit.ly/3jifw81
👉  Playlist for data science interview tips: https://bit.ly/2G5hNoJ
👉  Practice more real data science interview questions: https://platform.stratascratch.com/technical?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link

______________________________________________________________________

Timeline:

Intro: (0:00​​​)
Interview Question #1: (1:05)
Interview Question #2: (3:04)
Interview Question #3: (5:56)
Conclusion: (7:34​​)
______________________________________________________________________

About The Platform:

I'm using StrataScratch (https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link), a platform that allows you to practice real data science interview questions. There are over 1000+ interview questions that cover coding (SQL and python), statistics, probability, product sense, and business cases.

So, if you want more interview practice with real data science interview questions, visit https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link. All questions are free and you can even execute SQL and python code in the IDE, but if you want to check out the solutions from me or from other users, you can use ss15 for a 15% discount on the premium plans.

______________________________________________________________________

Contact:

If you have any questions, comments, or feedback, please leave them here!
Feel free to also email me at nathan@stratascratch.com
______________________________________________________________________

#ProbabilityInterviewQuestions","['data scientist probability interview questions', 'data science probability interview questions', 'probability interview questions and answers', 'probability interview questions', 'Data science', 'Data analyst', 'Data science interview questions']",2022-03-10T02:52:23Z,2550,78,,4,PT8M16S,hd,false
169,Av92CaPTRr8,StrataScratch,How to use SQL window functions: RANK vs DENSE_RANK in Data Science Interviews,"This video covers two of the most common SQL Rank Functions, their differences, and how to use them. We’ll take the following two example questions from data science interviews which shows the crucial reasons to use RANK and DENSE_RANK SQL window functions.


Link to the questions:
1. https://platform.stratascratch.com/coding/10148-find-the-top-10-cities-with-the-most-5-star-businesses?python=&utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link
2. https://platform.stratascratch.com/coding/10159-ranking-most-active-guests?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link

______________________________________________________________________

👉  Subscribe to my channel: https://bit.ly/2GsFxmA
👉  Playlist for more data science interview questions and answers: https://bit.ly/3jifw81
👉  Playlist for data science interview tips: https://bit.ly/2G5hNoJ
👉  Practice more real data science interview questions: https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link

______________________________________________________________________

Timeline:

Intro: (0:00​​​)
Interview Question #1: (0:25)
Interview Question #2: (6:24)
Conclusion: (9:02​​)
______________________________________________________________________

About The Platform:

I'm using StrataScratch (https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link), a platform that allows you to practice real data science interview questions. There are over 1000+ interview questions that cover coding (SQL and python), statistics, probability, product sense, and business cases.

So, if you want more interview practice with real data science interview questions, visit https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link. All questions are free and you can even execute SQL and python code in the IDE, but if you want to check out the solutions from me or from other users, you can use ss15 for a 15% discount on the premium plans.

______________________________________________________________________

Contact:

If you have any questions, comments, or feedback, please leave them here!
Feel free to also email me at nathan@stratascratch.com
______________________________________________________________________","['rank and dense rank functions', 'sql rank functions', 'sql rank vs dense rank', 'rank vs dense rank', 'sql interview questions', 'data science interview', 'data science', 'data analyst', 'sql window functions']",2022-03-02T09:35:11Z,3620,100,,7,PT10M39S,hd,false
170,tnoOz6MzTPg,StrataScratch,Python cumsum() | Solving Python Optimization Questions On a Data Science Interview,"In this video, we'll take a close look at one of the larger families of data science questions concerning optimization. We’ll use the cumulative sum or cumsum() function to solve this complex python optimization question.  


Link to the question: 
https://platform.stratascratch.com/coding/2082-minimum-number-of-platforms?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link

______________________________________________________________________

👉  Subscribe to my channel: https://bit.ly/2GsFxmA
👉  Playlist for more data science interview questions and answers: https://bit.ly/3jifw81
👉  Playlist for data science interview tips: https://bit.ly/2G5hNoJ
👉  Practice more real data science interview questions: https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link

______________________________________________________________________


Timeline:

Intro: (0:00​​​)
Understanding the data: (1:19)
Formulate the approach: How to use cumsum(): (2:04)
Formulate the approach: Data Preparation: (07:05)
Code execution: (08:51)
Conclusion: (18:19​​)

______________________________________________________________________

About The Platform:

I'm using StrataScratch (https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link), a platform that allows you to practice real data science interview questions. There are over 1000+ interview questions that cover coding (SQL and python), statistics, probability, product sense, and business cases.

So, if you want more interview practice with real data science interview questions, visit https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link. All questions are free and you can even execute SQL and python code in the IDE, but if you want to check out the solutions from me or from other users, you can use ss15 for a 15% discount on the premium plans.

______________________________________________________________________

Contact:

If you have any questions, comments, or feedback, please leave them here!
Feel free to also email me at nathan@stratascratch.com
______________________________________________________________________","['python optimization questions', 'python optimization problems', 'Data science', 'cumulative sum in python', 'Data analytics', 'Python interview questions']",2022-05-11T15:01:39Z,1441,49,,5,PT19M13S,hd,false
171,OzyHfddLj9g,StrataScratch,How to Solve a SQL Interview Question Using WHERE & HAVING | PayPal Data Science Interview,"In this video, we'll take a close look at one of the PayPal data scientist interview questions and discuss two different ways of solving this question using SQL. We’ll also compare these two approaches and find out which is the best for you to use if you’re at a job interview.


Link to the questions: https://platform.stratascratch.com/coding/9901-super-managers?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link

______________________________________________________________________

👉  Subscribe to my channel: https://bit.ly/2GsFxmA
👉  Playlist for more data science interview questions and answers: https://bit.ly/3jifw81
👉  Playlist for data science interview tips: https://bit.ly/2G5hNoJ
👉  Practice more real data science interview questions: https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link

______________________________________________________________________

Timeline:

Intro: (0:00​​​)
Understanding the data: (1:02)
Solution 1: Formulate the approach: (1:44)
Solution 1: Code execution: (2:26)
Solution 2: Formulate the approach: (3:42)
Solution 2: Code execution: (4:17)
Comparison: (6:11)
Conclusion: (6:57​​)
______________________________________________________________________

About The Platform:

I'm using StrataScratch (https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link), a platform that allows you to practice real data science interview questions. There are over 1000+ interview questions that cover coding (SQL and python), statistics, probability, product sense, and business cases.

So, if you want more interview practice with real data science interview questions, visit https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link. All questions are free and you can even execute SQL and python code in the IDE, but if you want to check out the solutions from me or from other users, you can use ss15 for a 15% discount on the premium plans.

______________________________________________________________________

Contact:

If you have any questions, comments, or feedback, please leave them here!
Feel free to also email me at nathan@stratascratch.com
______________________________________________________________________","['paypal data scientist interview questions', 'paypal data science interview questions', 'Data science interview questions', 'sql interview questions', 'Data science', 'Data analyst']",2022-04-13T03:26:28Z,4380,102,,10,PT7M38S,hd,false
172,jN5hpgBrz8k,StrataScratch,Dealing With Python Date Manipulations In a Meta/Facebook Data Science Interview Question,"This is a really interesting Python question that is frequently asked at Meta/Facebook data science interviews. The title of this interview question is ""Users By Average Session Time"" and we are being asked to calculate each user's average session time. This is a medium level question because while it’s rather straightforward to get durations of individual sessions from the events, it is harder to identify valid sessions and take an average from time differences.


Link to the questions:
https://platform.stratascratch.com/coding/10352-users-by-avg-session-time?python=1&utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link

______________________________________________________________________

👉  Subscribe to my channel: https://bit.ly/2GsFxmA
👉  Playlist for more data science interview questions and answers: https://bit.ly/3jifw81
👉  Playlist for data science interview tips: https://bit.ly/2G5hNoJ
👉  Practice more real data science interview questions: https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link

______________________________________________________________________

Timeline:

Intro: (0:00​​​)
Interview Question: (0:26)
Framework to solve the problem: (1:11)
Understand your data: (1:33)
Formulate the approach: (2:43)
Code execution: (6:09)
Conclusion: (22:17​​)
______________________________________________________________________

About The Platform:

I'm using StrataScratch (https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link), a platform that allows you to practice real data science interview questions. There are over 1000+ interview questions that cover coding (SQL and python), statistics, probability, product sense, and business cases.

So, if you want more interview practice with real data science interview questions, visit https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link. All questions are free and you can even execute SQL and python code in the IDE, but if you want to check out the solutions from me or from other users, you can use ss15 for a 15% discount on the premium plans.

______________________________________________________________________

Contact:

If you have any questions, comments, or feedback, please leave them here!
Feel free to also email me at nathan@stratascratch.com
______________________________________________________________________","['facebook data science python interview questions', 'facebook python interview questions', 'python interview questions', 'product analytics interview questions', 'facebook data scientist python interview questions', 'Data science', 'Data analyst', 'Data science interview questions']",2022-03-22T17:30:06Z,4407,138,,21,PT23M11S,hd,false
173,yFyyP_Uvxj0,StrataScratch,How To Solve Data Science Probability Interview Questions | Meta/Facebook Example,"Top companies require top data scientists. The ones that are good at solving probability problems, which is what we’ll do in this video. We'll be looking at solving probability questions that have appeared in data science interviews at top companies.


Link to the questions:
Meta/Facebook question (Two cards have the same suit): https://platform.stratascratch.com/technical/2003-two-cards-same-suite?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link
Yammer question (2 people with the same birthday): https://platform.stratascratch.com/technical/2028-where-are-the-birthday-people?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link
Jane Street question (Getting 3 tails with 4 coins): https://platform.stratascratch.com/technical/2285-two-out-of-three-tails?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link

______________________________________________________________________

👉  Subscribe to my channel: https://bit.ly/2GsFxmA
👉  Playlist for more data science interview questions and answers: https://bit.ly/3jifw81
👉  Playlist for data science interview tips: https://bit.ly/2G5hNoJ
👉  Practice more real data science interview questions: https://platform.stratascratch.com/technical?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link

______________________________________________________________________

Timeline:

Intro: (0:00​​​)
Interview Question #1: (1:05)
Interview Question #2: (3:04)
Interview Question #3: (5:56)
Conclusion: (7:34​​)
______________________________________________________________________

About The Platform:

I'm using StrataScratch (https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link), a platform that allows you to practice real data science interview questions. There are over 1000+ interview questions that cover coding (SQL and python), statistics, probability, product sense, and business cases.

So, if you want more interview practice with real data science interview questions, visit https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link. All questions are free and you can even execute SQL and python code in the IDE, but if you want to check out the solutions from me or from other users, you can use ss15 for a 15% discount on the premium plans.

______________________________________________________________________

Contact:

If you have any questions, comments, or feedback, please leave them here!
Feel free to also email me at nathan@stratascratch.com
______________________________________________________________________

#ProbabilityInterviewQuestions","['data scientist probability interview questions', 'data science probability interview questions', 'probability interview questions and answers', 'probability interview questions', 'Data science', 'Data analyst', 'Data science interview questions']",2022-03-10T02:52:23Z,2550,78,,4,PT8M16S,hd,false
174,Av92CaPTRr8,StrataScratch,How to use SQL window functions: RANK vs DENSE_RANK in Data Science Interviews,"This video covers two of the most common SQL Rank Functions, their differences, and how to use them. We’ll take the following two example questions from data science interviews which shows the crucial reasons to use RANK and DENSE_RANK SQL window functions.


Link to the questions:
1. https://platform.stratascratch.com/coding/10148-find-the-top-10-cities-with-the-most-5-star-businesses?python=&utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link
2. https://platform.stratascratch.com/coding/10159-ranking-most-active-guests?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link

______________________________________________________________________

👉  Subscribe to my channel: https://bit.ly/2GsFxmA
👉  Playlist for more data science interview questions and answers: https://bit.ly/3jifw81
👉  Playlist for data science interview tips: https://bit.ly/2G5hNoJ
👉  Practice more real data science interview questions: https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link

______________________________________________________________________

Timeline:

Intro: (0:00​​​)
Interview Question #1: (0:25)
Interview Question #2: (6:24)
Conclusion: (9:02​​)
______________________________________________________________________

About The Platform:

I'm using StrataScratch (https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link), a platform that allows you to practice real data science interview questions. There are over 1000+ interview questions that cover coding (SQL and python), statistics, probability, product sense, and business cases.

So, if you want more interview practice with real data science interview questions, visit https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link. All questions are free and you can even execute SQL and python code in the IDE, but if you want to check out the solutions from me or from other users, you can use ss15 for a 15% discount on the premium plans.

______________________________________________________________________

Contact:

If you have any questions, comments, or feedback, please leave them here!
Feel free to also email me at nathan@stratascratch.com
______________________________________________________________________","['rank and dense rank functions', 'sql rank functions', 'sql rank vs dense rank', 'rank vs dense rank', 'sql interview questions', 'data science interview', 'data science', 'data analyst', 'sql window functions']",2022-03-02T09:35:11Z,3620,100,,7,PT10M39S,hd,false
175,tnoOz6MzTPg,StrataScratch,Python cumsum() | Solving Python Optimization Questions On a Data Science Interview,"In this video, we'll take a close look at one of the larger families of data science questions concerning optimization. We’ll use the cumulative sum or cumsum() function to solve this complex python optimization question.  


Link to the question: 
https://platform.stratascratch.com/coding/2082-minimum-number-of-platforms?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link

______________________________________________________________________

👉  Subscribe to my channel: https://bit.ly/2GsFxmA
👉  Playlist for more data science interview questions and answers: https://bit.ly/3jifw81
👉  Playlist for data science interview tips: https://bit.ly/2G5hNoJ
👉  Practice more real data science interview questions: https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link

______________________________________________________________________


Timeline:

Intro: (0:00​​​)
Understanding the data: (1:19)
Formulate the approach: How to use cumsum(): (2:04)
Formulate the approach: Data Preparation: (07:05)
Code execution: (08:51)
Conclusion: (18:19​​)

______________________________________________________________________

About The Platform:

I'm using StrataScratch (https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link), a platform that allows you to practice real data science interview questions. There are over 1000+ interview questions that cover coding (SQL and python), statistics, probability, product sense, and business cases.

So, if you want more interview practice with real data science interview questions, visit https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link. All questions are free and you can even execute SQL and python code in the IDE, but if you want to check out the solutions from me or from other users, you can use ss15 for a 15% discount on the premium plans.

______________________________________________________________________

Contact:

If you have any questions, comments, or feedback, please leave them here!
Feel free to also email me at nathan@stratascratch.com
______________________________________________________________________","['python optimization questions', 'python optimization problems', 'Data science', 'cumulative sum in python', 'Data analytics', 'Python interview questions']",2022-05-11T15:01:39Z,1441,49,,5,PT19M13S,hd,false
176,OzyHfddLj9g,StrataScratch,How to Solve a SQL Interview Question Using WHERE & HAVING | PayPal Data Science Interview,"In this video, we'll take a close look at one of the PayPal data scientist interview questions and discuss two different ways of solving this question using SQL. We’ll also compare these two approaches and find out which is the best for you to use if you’re at a job interview.


Link to the questions: https://platform.stratascratch.com/coding/9901-super-managers?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link

______________________________________________________________________

👉  Subscribe to my channel: https://bit.ly/2GsFxmA
👉  Playlist for more data science interview questions and answers: https://bit.ly/3jifw81
👉  Playlist for data science interview tips: https://bit.ly/2G5hNoJ
👉  Practice more real data science interview questions: https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link

______________________________________________________________________

Timeline:

Intro: (0:00​​​)
Understanding the data: (1:02)
Solution 1: Formulate the approach: (1:44)
Solution 1: Code execution: (2:26)
Solution 2: Formulate the approach: (3:42)
Solution 2: Code execution: (4:17)
Comparison: (6:11)
Conclusion: (6:57​​)
______________________________________________________________________

About The Platform:

I'm using StrataScratch (https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link), a platform that allows you to practice real data science interview questions. There are over 1000+ interview questions that cover coding (SQL and python), statistics, probability, product sense, and business cases.

So, if you want more interview practice with real data science interview questions, visit https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link. All questions are free and you can even execute SQL and python code in the IDE, but if you want to check out the solutions from me or from other users, you can use ss15 for a 15% discount on the premium plans.

______________________________________________________________________

Contact:

If you have any questions, comments, or feedback, please leave them here!
Feel free to also email me at nathan@stratascratch.com
______________________________________________________________________","['paypal data scientist interview questions', 'paypal data science interview questions', 'Data science interview questions', 'sql interview questions', 'Data science', 'Data analyst']",2022-04-13T03:26:28Z,4380,102,,10,PT7M38S,hd,false
177,jN5hpgBrz8k,StrataScratch,Dealing With Python Date Manipulations In a Meta/Facebook Data Science Interview Question,"This is a really interesting Python question that is frequently asked at Meta/Facebook data science interviews. The title of this interview question is ""Users By Average Session Time"" and we are being asked to calculate each user's average session time. This is a medium level question because while it’s rather straightforward to get durations of individual sessions from the events, it is harder to identify valid sessions and take an average from time differences.


Link to the questions:
https://platform.stratascratch.com/coding/10352-users-by-avg-session-time?python=1&utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link

______________________________________________________________________

👉  Subscribe to my channel: https://bit.ly/2GsFxmA
👉  Playlist for more data science interview questions and answers: https://bit.ly/3jifw81
👉  Playlist for data science interview tips: https://bit.ly/2G5hNoJ
👉  Practice more real data science interview questions: https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link

______________________________________________________________________

Timeline:

Intro: (0:00​​​)
Interview Question: (0:26)
Framework to solve the problem: (1:11)
Understand your data: (1:33)
Formulate the approach: (2:43)
Code execution: (6:09)
Conclusion: (22:17​​)
______________________________________________________________________

About The Platform:

I'm using StrataScratch (https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link), a platform that allows you to practice real data science interview questions. There are over 1000+ interview questions that cover coding (SQL and python), statistics, probability, product sense, and business cases.

So, if you want more interview practice with real data science interview questions, visit https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link. All questions are free and you can even execute SQL and python code in the IDE, but if you want to check out the solutions from me or from other users, you can use ss15 for a 15% discount on the premium plans.

______________________________________________________________________

Contact:

If you have any questions, comments, or feedback, please leave them here!
Feel free to also email me at nathan@stratascratch.com
______________________________________________________________________","['facebook data science python interview questions', 'facebook python interview questions', 'python interview questions', 'product analytics interview questions', 'facebook data scientist python interview questions', 'Data science', 'Data analyst', 'Data science interview questions']",2022-03-22T17:30:06Z,4407,138,,21,PT23M11S,hd,false
178,yFyyP_Uvxj0,StrataScratch,How To Solve Data Science Probability Interview Questions | Meta/Facebook Example,"Top companies require top data scientists. The ones that are good at solving probability problems, which is what we’ll do in this video. We'll be looking at solving probability questions that have appeared in data science interviews at top companies.


Link to the questions:
Meta/Facebook question (Two cards have the same suit): https://platform.stratascratch.com/technical/2003-two-cards-same-suite?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link
Yammer question (2 people with the same birthday): https://platform.stratascratch.com/technical/2028-where-are-the-birthday-people?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link
Jane Street question (Getting 3 tails with 4 coins): https://platform.stratascratch.com/technical/2285-two-out-of-three-tails?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link

______________________________________________________________________

👉  Subscribe to my channel: https://bit.ly/2GsFxmA
👉  Playlist for more data science interview questions and answers: https://bit.ly/3jifw81
👉  Playlist for data science interview tips: https://bit.ly/2G5hNoJ
👉  Practice more real data science interview questions: https://platform.stratascratch.com/technical?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link

______________________________________________________________________

Timeline:

Intro: (0:00​​​)
Interview Question #1: (1:05)
Interview Question #2: (3:04)
Interview Question #3: (5:56)
Conclusion: (7:34​​)
______________________________________________________________________

About The Platform:

I'm using StrataScratch (https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link), a platform that allows you to practice real data science interview questions. There are over 1000+ interview questions that cover coding (SQL and python), statistics, probability, product sense, and business cases.

So, if you want more interview practice with real data science interview questions, visit https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link. All questions are free and you can even execute SQL and python code in the IDE, but if you want to check out the solutions from me or from other users, you can use ss15 for a 15% discount on the premium plans.

______________________________________________________________________

Contact:

If you have any questions, comments, or feedback, please leave them here!
Feel free to also email me at nathan@stratascratch.com
______________________________________________________________________

#ProbabilityInterviewQuestions","['data scientist probability interview questions', 'data science probability interview questions', 'probability interview questions and answers', 'probability interview questions', 'Data science', 'Data analyst', 'Data science interview questions']",2022-03-10T02:52:23Z,2550,78,,4,PT8M16S,hd,false
179,Av92CaPTRr8,StrataScratch,How to use SQL window functions: RANK vs DENSE_RANK in Data Science Interviews,"This video covers two of the most common SQL Rank Functions, their differences, and how to use them. We’ll take the following two example questions from data science interviews which shows the crucial reasons to use RANK and DENSE_RANK SQL window functions.


Link to the questions:
1. https://platform.stratascratch.com/coding/10148-find-the-top-10-cities-with-the-most-5-star-businesses?python=&utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link
2. https://platform.stratascratch.com/coding/10159-ranking-most-active-guests?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link

______________________________________________________________________

👉  Subscribe to my channel: https://bit.ly/2GsFxmA
👉  Playlist for more data science interview questions and answers: https://bit.ly/3jifw81
👉  Playlist for data science interview tips: https://bit.ly/2G5hNoJ
👉  Practice more real data science interview questions: https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link

______________________________________________________________________

Timeline:

Intro: (0:00​​​)
Interview Question #1: (0:25)
Interview Question #2: (6:24)
Conclusion: (9:02​​)
______________________________________________________________________

About The Platform:

I'm using StrataScratch (https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link), a platform that allows you to practice real data science interview questions. There are over 1000+ interview questions that cover coding (SQL and python), statistics, probability, product sense, and business cases.

So, if you want more interview practice with real data science interview questions, visit https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link. All questions are free and you can even execute SQL and python code in the IDE, but if you want to check out the solutions from me or from other users, you can use ss15 for a 15% discount on the premium plans.

______________________________________________________________________

Contact:

If you have any questions, comments, or feedback, please leave them here!
Feel free to also email me at nathan@stratascratch.com
______________________________________________________________________","['rank and dense rank functions', 'sql rank functions', 'sql rank vs dense rank', 'rank vs dense rank', 'sql interview questions', 'data science interview', 'data science', 'data analyst', 'sql window functions']",2022-03-02T09:35:11Z,3620,100,,7,PT10M39S,hd,false
180,tnoOz6MzTPg,StrataScratch,Python cumsum() | Solving Python Optimization Questions On a Data Science Interview,"In this video, we'll take a close look at one of the larger families of data science questions concerning optimization. We’ll use the cumulative sum or cumsum() function to solve this complex python optimization question.  


Link to the question: 
https://platform.stratascratch.com/coding/2082-minimum-number-of-platforms?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link

______________________________________________________________________

👉  Subscribe to my channel: https://bit.ly/2GsFxmA
👉  Playlist for more data science interview questions and answers: https://bit.ly/3jifw81
👉  Playlist for data science interview tips: https://bit.ly/2G5hNoJ
👉  Practice more real data science interview questions: https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link

______________________________________________________________________


Timeline:

Intro: (0:00​​​)
Understanding the data: (1:19)
Formulate the approach: How to use cumsum(): (2:04)
Formulate the approach: Data Preparation: (07:05)
Code execution: (08:51)
Conclusion: (18:19​​)

______________________________________________________________________

About The Platform:

I'm using StrataScratch (https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link), a platform that allows you to practice real data science interview questions. There are over 1000+ interview questions that cover coding (SQL and python), statistics, probability, product sense, and business cases.

So, if you want more interview practice with real data science interview questions, visit https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link. All questions are free and you can even execute SQL and python code in the IDE, but if you want to check out the solutions from me or from other users, you can use ss15 for a 15% discount on the premium plans.

______________________________________________________________________

Contact:

If you have any questions, comments, or feedback, please leave them here!
Feel free to also email me at nathan@stratascratch.com
______________________________________________________________________","['python optimization questions', 'python optimization problems', 'Data science', 'cumulative sum in python', 'Data analytics', 'Python interview questions']",2022-05-11T15:01:39Z,1441,49,,5,PT19M13S,hd,false
181,OzyHfddLj9g,StrataScratch,How to Solve a SQL Interview Question Using WHERE & HAVING | PayPal Data Science Interview,"In this video, we'll take a close look at one of the PayPal data scientist interview questions and discuss two different ways of solving this question using SQL. We’ll also compare these two approaches and find out which is the best for you to use if you’re at a job interview.


Link to the questions: https://platform.stratascratch.com/coding/9901-super-managers?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link

______________________________________________________________________

👉  Subscribe to my channel: https://bit.ly/2GsFxmA
👉  Playlist for more data science interview questions and answers: https://bit.ly/3jifw81
👉  Playlist for data science interview tips: https://bit.ly/2G5hNoJ
👉  Practice more real data science interview questions: https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link

______________________________________________________________________

Timeline:

Intro: (0:00​​​)
Understanding the data: (1:02)
Solution 1: Formulate the approach: (1:44)
Solution 1: Code execution: (2:26)
Solution 2: Formulate the approach: (3:42)
Solution 2: Code execution: (4:17)
Comparison: (6:11)
Conclusion: (6:57​​)
______________________________________________________________________

About The Platform:

I'm using StrataScratch (https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link), a platform that allows you to practice real data science interview questions. There are over 1000+ interview questions that cover coding (SQL and python), statistics, probability, product sense, and business cases.

So, if you want more interview practice with real data science interview questions, visit https://platform.stratascratch.com/coding?utm_source=youtube&utm_medium=click&utm_campaign=YT+description+link. All questions are free and you can even execute SQL and python code in the IDE, but if you want to check out the solutions from me or from other users, you can use ss15 for a 15% discount on the premium plans.

______________________________________________________________________

Contact:

If you have any questions, comments, or feedback, please leave them here!
Feel free to also email me at nathan@stratascratch.com
______________________________________________________________________","['paypal data scientist interview questions', 'paypal data science interview questions', 'Data science interview questions', 'sql interview questions', 'Data science', 'Data analyst']",2022-04-13T03:26:28Z,4380,102,,10,PT7M38S,hd,false
